#           k/h    P           
    0.42098E-02    0.17099E+05
    0.42948E-02    0.17342E+05
    0.43816E-02    0.17586E+05
    0.44701E-02    0.17831E+05
    0.45604E-02    0.18078E+05
    0.46525E-02    0.18326E+05
    0.47465E-02    0.18574E+05
    0.48424E-02    0.18824E+05
    0.49402E-02    0.19075E+05
    0.50400E-02    0.19326E+05
    0.51419E-02    0.19579E+05
    0.52457E-02    0.19831E+05
    0.53517E-02    0.20085E+05
    0.54598E-02    0.20338E+05
    0.55701E-02    0.20592E+05
    0.56826E-02    0.20846E+05
    0.57974E-02    0.21100E+05
    0.59145E-02    0.21354E+05
    0.60340E-02    0.21607E+05
    0.61559E-02    0.21860E+05
    0.62803E-02    0.22112E+05
    0.64072E-02    0.22364E+05
    0.65366E-02    0.22615E+05
    0.66686E-02    0.22864E+05
    0.68033E-02    0.23112E+05
    0.69408E-02    0.23359E+05
    0.70810E-02    0.23604E+05
    0.72240E-02    0.23848E+05
    0.73700E-02    0.24089E+05
    0.75189E-02    0.24328E+05
    0.76708E-02    0.24565E+05
    0.78257E-02    0.24799E+05
    0.79838E-02    0.25030E+05
    0.81451E-02    0.25258E+05
    0.83096E-02    0.25482E+05
    0.84775E-02    0.25703E+05
    0.86488E-02    0.25921E+05
    0.88235E-02    0.26134E+05
    0.90017E-02    0.26343E+05
    0.91836E-02    0.26547E+05
    0.93691E-02    0.26746E+05
    0.95583E-02    0.26940E+05
    0.97514E-02    0.27129E+05
    0.99484E-02    0.27312E+05
    0.10149E-01    0.27489E+05
    0.10354E-01    0.27660E+05
    0.10564E-01    0.27825E+05
    0.10777E-01    0.27982E+05
    0.10995E-01    0.28132E+05
    0.11217E-01    0.28275E+05
    0.11443E-01    0.28409E+05
    0.11675E-01    0.28536E+05
    0.11910E-01    0.28654E+05
    0.12151E-01    0.28764E+05
    0.12397E-01    0.28865E+05
    0.12647E-01    0.28957E+05
    0.12902E-01    0.29039E+05
    0.13163E-01    0.29111E+05
    0.13429E-01    0.29171E+05
    0.13700E-01    0.29218E+05
    0.13977E-01    0.29253E+05
    0.14259E-01    0.29277E+05
    0.14547E-01    0.29293E+05
    0.14841E-01    0.29303E+05
    0.15141E-01    0.29307E+05
    0.15447E-01    0.29305E+05
    0.15759E-01    0.29294E+05
    0.16077E-01    0.29271E+05
    0.16402E-01    0.29231E+05
    0.16734E-01    0.29172E+05
    0.17072E-01    0.29093E+05
    0.17416E-01    0.28996E+05
    0.17768E-01    0.28883E+05
    0.18127E-01    0.28757E+05
    0.18493E-01    0.28620E+05
    0.18867E-01    0.28470E+05
