#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12694E+04    0.13779E+01    0.23296E-04    0.13779E+01    0.70796E-01   -0.27215E-08    0.23296E-04   -0.27215E-08    0.69648E-10
    44    0.12880E+04    0.12799E+01    0.22268E-04    0.12799E+01    0.76401E-01   -0.41410E-08    0.22268E-04   -0.41410E-08    0.66346E-10
    45    0.13070E+04    0.11665E+01    0.21304E-04    0.11665E+01    0.82255E-01   -0.65531E-08    0.21304E-04   -0.65531E-08    0.63252E-10
    46    0.13263E+04    0.10338E+01    0.20399E-04    0.10338E+01    0.88353E-01   -0.97373E-08    0.20399E-04   -0.97373E-08    0.60347E-10
    47    0.13457E+04    0.88404E+00    0.19549E-04    0.88404E+00    0.94699E-01   -0.13209E-07    0.19549E-04   -0.13209E-07    0.57618E-10
    48    0.13652E+04    0.72339E+00    0.18747E-04    0.72339E+00    0.10131E+00   -0.16416E-07    0.18747E-04   -0.16416E-07    0.55052E-10
    49    0.13848E+04    0.55754E+00    0.17987E-04    0.55754E+00    0.10817E+00   -0.18807E-07    0.17987E-04   -0.18807E-07    0.52637E-10
    50    0.14049E+04    0.38540E+00    0.17262E-04    0.38540E+00    0.11527E+00   -0.19832E-07    0.17262E-04   -0.19832E-07    0.50362E-10
    51    0.14251E+04    0.20389E+00    0.16569E-04    0.20389E+00    0.12259E+00   -0.19143E-07    0.16569E-04   -0.19143E-07    0.48216E-10
    52    0.14457E+04    0.76899E-02    0.15906E-04    0.76899E-02    0.13020E+00   -0.17213E-07    0.15906E-04   -0.17213E-07    0.46190E-10
    53    0.14664E+04   -0.20722E+00    0.15277E-04   -0.20722E+00    0.13824E+00   -0.14718E-07    0.15277E-04   -0.14718E-07    0.44276E-10
    54    0.14869E+04   -0.43689E+00    0.14683E-04   -0.43689E+00    0.14670E+00   -0.12333E-07    0.14683E-04   -0.12333E-07    0.42466E-10
    55    0.15076E+04   -0.67726E+00    0.14126E-04   -0.67726E+00    0.15554E+00   -0.10737E-07    0.14126E-04   -0.10737E-07    0.40754E-10
    56    0.15287E+04   -0.93031E+00    0.13607E-04   -0.93031E+00    0.16461E+00   -0.10415E-07    0.13607E-04   -0.10415E-07    0.39131E-10
    57    0.15500E+04   -0.11959E+01    0.13122E-04   -0.11959E+01    0.17381E+00   -0.11092E-07    0.13122E-04   -0.11092E-07    0.37592E-10
    58    0.15717E+04   -0.14745E+01    0.12667E-04   -0.14745E+01    0.18317E+00   -0.12306E-07    0.12667E-04   -0.12306E-07    0.36132E-10
    59    0.15935E+04   -0.17667E+01    0.12237E-04   -0.17667E+01    0.19272E+00   -0.13591E-07    0.12237E-04   -0.13591E-07    0.34746E-10
    60    0.16154E+04   -0.20717E+01    0.11827E-04   -0.20717E+01    0.20253E+00   -0.14483E-07    0.11827E-04   -0.14483E-07    0.33429E-10
    61    0.16378E+04   -0.23884E+01    0.11433E-04   -0.23884E+01    0.21271E+00   -0.14625E-07    0.11433E-04   -0.14625E-07    0.32177E-10
    62    0.16601E+04   -0.27181E+01    0.11053E-04   -0.27181E+01    0.22322E+00   -0.14080E-07    0.11053E-04   -0.14080E-07    0.30985E-10
    63    0.16826E+04   -0.30620E+01    0.10688E-04   -0.30620E+01    0.23404E+00   -0.13019E-07    0.10688E-04   -0.13019E-07    0.29850E-10
    64    0.17054E+04   -0.34216E+01    0.10335E-04   -0.34216E+01    0.24515E+00   -0.11611E-07    0.10335E-04   -0.11611E-07    0.28769E-10
    65    0.17282E+04   -0.37979E+01    0.99940E-05   -0.37979E+01    0.25654E+00   -0.10027E-07    0.99940E-05   -0.10027E-07    0.27739E-10
    66    0.17514E+04   -0.41891E+01    0.96646E-05   -0.41891E+01    0.26811E+00   -0.84417E-08    0.96646E-05   -0.84417E-08    0.26757E-10
    67    0.17748E+04   -0.45921E+01    0.93474E-05   -0.45921E+01    0.27989E+00   -0.70499E-08    0.93474E-05   -0.70499E-08    0.25819E-10
